context,response
"Dr. House, you should get back to your office """,Jules. There's no Jules in the history.
It was a hallucination.,Of what?
Not long.,I don't think this is lupus.
"I don't think this is lupus. Come on, let's just go """,Your fourth diagnostic criterion of lupus is psychosis; this is just a kid missing his cat.
He was being attacked by an animal that wasn't in the room. That's psychosis.,There's a difference between psychosis and hallucination.
"So, if he was imagining a fake cat it'd be lupus, but since it was a real cat it's not? Take your damn pills.","Psychosis requires """
There's no cat! Jules is dead.,"You have a dead family pet, and you nEver mentioned it? Nice family history."
"Family history is asking about family members, meaning people related to the Patient. Let's go.",How did the cat die?
"Dr. House, come on, let's go """,What happened to the cat?
Old age. She was fifteen years old.,When?
"Does this have anything to do with """,Where'd she sleep?
This is not a cat allergy.,It's not lupus. Where is Jules?
Scalpel.,Stop the gases.
"What the hell are you doing, House?",Saving a sixteen-year-old kid from a lifetime of immunosuppressant drugs and a very nasty scar. This kid doesn't have lupoid hepatitis. He has acute naphthalene toxicity.
Naphthalene. You're talking about mothballs.,"Nope. Termites. They create naphthalene to protect their nests, which I'm assuming is rather large and is inside all four walls of his bedroom at home."
And your assumption is based on what?,The autopsy I just conducted on his pet cat.
Call Cuddy. And security.,You are not removing that kid's liver.
NOW! Have you completely lost your mind?!,"No, but I have been feeling a little sick lately. Achoo!"
"You've already cost him his liver, don't kill him too!",Why are you so eager to cut into a healthy kid?
Healthy? He's in the toilet!,He just needs some Parkcken soup.
I'm telling Hourani to re-scrub. We're doing this transplant.,"No, you're not."
They've only gotten worse.,If the food here wasn't one step below Riker's Island he would've gotten better. He's lost fourteen pounds.
"Yeah, sure. This is nothing but a dietary thing.","Naphthalene is a gas, a fat soluble gas. The kid breathes it in, it gets stored in his fat cells. Outside the hospital his body burned protein and carbs for energy, and the naphthalene stayed in fat. But once the car accident put him in the hospital, and he started losing weight , his body had to get its energy somewhere else. It started to burn fat. The floodgates opened, the poison poured into his system."
"So, getting away from the poison is what poisoned him?",Getting him away from his dad's meatloaf is what's killing him.
Hey! Take it easy.,"Your cat did not die of old age. He died of massive internal bleeding and acute liver failure caused by naphthalene poisoning, the exact same thing your son has."
"You lie to me, you mess up my son's surgery, and now you expect me to trust you?","Give me twenty-four hours, we'll pump your son full of calories """
We're doing that surgery.,"If you do the surgery, you'll be killing a mother of four."
Father of three.,I was guessing.
Like you are now?,"Naphthalene poisoning is the best explanation we have for what's wrong with your son. It explains the internal bleeding, the hemolytic anemia, the liver failure! it also predicts what'll happen next. If you do the surgery he's gonna lay on that table for fourteen hours while his body continues to burn fat and release poison into his system. Either way, I did you a favor. He's awake now, you've got a chance to say goodbye."
You made it a week.,And won my prize.
Congratulations.,Cuddy's a sucker. I would have done it for two weeks off.
"Yeah, it was a piece of cake. You learn anything?","Yeah, I'm an addict."
"Uh, okay.",I'm not stopping.
"There are programs. Cuddy would give you the time. You could get on a different pain Management regimen """,I don't need to stop.
You just said!,"I said I was an addict. I didn't say I had a pRoblem. I pay my bills, I make my meals. I function."
Is that all you want? You have no relationships.,I don't want any relationships.
You alienate people.,I've been alienating people since I was three.
"Oh, come on! Drop it! You don't think you've changed in the last few years?","Well, of, of course I have. I've, I've gotten older. My hair's gotten thinner. Sometimes I'm bored, sometimes I'm lonely, sometimes I wonder what it all means."
"No, I was there! You are not just a regular guy who's getting older, you've changed! You're miserable, and you're afraid to face yourself """,Of course I've changed!
And Everything's the leg? Nothing's the pills? They haven't done a thing to you?,"They let me do my job, and they take away my pain."
He's got osteopenia. His bones are too thin to fix the arm.,"No, price is not a pRoblem if you have what I need. *Click*"
Osteo-,Young Man?
How did you know?,"Well, if he's an old Man, osteopenia would just be a fact of life, you make him comfortable, send him home, which means you're just boring me. So he's young, which means it's most likely caused by cancer, and you're here because you haven't found it. Have you looked really, really hard?"
MRI and PET scan are both negative.,"Well, how old is he? Maybe the osteopenia is just early onset."
"Well, let's see. Born 9/21/77.","It's Hank Wiggen? He signed it, sweet. ""To Jimmy Wilson, the Cy Young of medicine."" You ask for that?"
"I-just the Jimmy part. The bone's too thin to support the kind of surgery that would let him pitch again. But if we figure out what's causing the osteopenia, we can rEverse the bone damage, then do the surgery.","Beat the Yankees, and save the free world."
Sorry I'm late. Car broke down on the interstate.,Don't beliEve you. Chem 7 also shows a poor kidney function. Now why would a guy in his twenties have a poor kidney?
"Cancer. It first attacks the bones, and then the kidneys.","Come on, people. He was 17 and 7! His ERA was 2.1."
"You want it to be his kidneys, because if it's his kidneys, then maybe we can treat it, maybe we can fix it. And if it's cancer, then he'll nEver pitch again. If this were a regular guy who came in and broke his arm lifting a box, you would've packed him up and sent him home!","My God, you're right, I lost my head. All life is equally sacred. And I promise you, the next knitting injury that comes in here, we're on it like stink on cheese. He weighed 175 his rookie year."
Stop.,Now he's 195 after playing a year in Japan. Why?
That'd explain the weight gain. And the kidney pRoblems.,"And the bone loss. Go ask him what he's on. When he says nothing, have him pee in a cup. If your car breaks down, you're an hour late, not two minutes. And two minutes isn't late enough to use a clEver excuse like car trouble."
I was coming in early.,"Huh. Unprompted lies, that's a bad sign. Either a guilty conscience or something personal's going on. See, that's all you had to do, Just walk in, sit down, do your job."
Uh!new guy.,"You need cash?!Ah, no, I, I don't have that much on me!No no, it's not a pRoblem. No, I'll be over by 6. 'Kay. *Click* 5 p.m., Dr. House checks out."
It's 4:45.,I was rounding up.
"Carol Moffett, please see Dr. House in Exam Room 1.","Whoa, whoa, not so fast, Kathy."
It's Carol.,"Ah. Uh, trouble with the leg? When's the wedding?"
This Saturday.,"Not much time to fit into that pretty dress, and no time for practical shoe-shopping. You're running two miles a day further than you should be."
